DATA (YYYY-MM-DD),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",CIDADE,LATITUDE,LONGITUDE
2006-11-05,0.21,908.83,909.12,908.55,1064.69,19.94,16.35,20.49,19.47,16.73,16.02,83.42,78.49,81.12,125.39,5.23,2.33,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2006-11-12,0.09,911.52,911.77,911.25,1260.48,15.61,10.53,16.23,15.09,11.1,10.04,76.77,70.98,73.92,114.68,5.92,2.62,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2006-11-19,0.63,912.98,913.32,912.73,1174.95,19.41,14.87,19.98,18.86,15.32,14.4,80.33,74.77,77.66,124.44,5.99,2.62,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2006-11-26,0.13,910.84,911.1,910.62,1229.94,19.76,15.35,20.32,19.25,15.82,14.91,80.4,75.11,77.83,119.24,5.13,2.23,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2007-11-04,0.49,906.76,907.13,906.41,1109.9,20.65,16.2,21.23,20.13,16.7,15.8,80.37,75.02,77.68,193.68,6.06,2.66,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2007-11-11,0.4,908.7,908.99,908.44,1252.58,19.41,14.71,19.95,18.88,15.18,14.28,78.76,73.38,76.15,146.27,6.62,3.04,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2007-11-18,0.08,914.2,914.46,913.98,1172.15,17.21,12.91,17.68,16.73,13.34,12.51,79.3,74.11,76.66,119.47,6.49,2.85,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2007-11-25,0.04,911.11,911.37,910.9,1596.41,19.24,12.51,19.9,18.62,13.15,11.87,71.51,64.96,68.22,125.8,5.83,2.57,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2008-11-02,0.26,911.97,912.29,911.69,1069.1,17.63,14.16,18.19,17.22,14.58,13.78,83.18,78.38,81.15,132.49,6.05,2.52,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2008-11-09,0.11,909.82,910.11,909.62,1280.56,19.43,15.62,20.03,18.96,16.12,15.13,82.52,76.66,79.97,157.0,5.2,2.13,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
