DATA (YYYY-MM-DD),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",CIDADE,LATITUDE,LONGITUDE
2006-10-01,0.18,916.47,916.71,916.26,981.89,13.98,10.66,14.32,13.63,10.97,10.32,83.51,79.79,81.73,112.24,6.05,2.77,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2006-10-08,0.06,911.53,911.82,911.28,1072.84,18.04,14.2,18.6,17.58,14.61,13.82,81.88,76.85,79.47,132.42,5.35,2.33,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2006-10-15,0.11,911.87,912.15,911.65,1091.36,18.68,14.81,19.15,18.18,15.22,14.42,82.27,77.6,79.88,103.19,5.22,2.36,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2006-10-22,0.07,913.04,913.29,912.82,967.55,15.7,12.25,16.14,15.27,12.64,11.94,83.25,78.95,81.06,105.03,5.87,2.73,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2006-10-29,0.0,912.23,912.51,912.01,1428.66,18.79,12.67,19.46,18.12,13.19,12.19,73.39,67.32,70.42,123.96,6.02,2.73,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2007-10-07,0.0,914.93,915.21,914.69,1297.45,16.89,11.71,17.48,16.32,12.13,11.31,76.7,71.39,74.08,97.64,6.04,2.79,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2007-10-14,0.24,912.0,912.31,911.74,1136.24,19.38,14.19,19.9,18.93,14.61,13.84,77.42,72.71,75.12,128.53,6.33,2.88,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2007-10-21,0.21,911.53,911.86,911.24,1091.94,18.37,14.3,18.87,17.88,14.74,13.87,81.79,76.75,79.33,141.21,5.31,2.26,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2007-10-28,0.1,913.01,913.33,912.77,969.38,17.83,14.17,18.28,17.4,14.51,13.81,82.98,78.53,80.83,133.75,5.58,2.5,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2008-10-05,0.4,911.7,912.09,911.46,1187.18,17.16,13.26,17.73,16.68,13.73,12.76,81.99,76.4,79.61,128.39,6.02,2.48,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2008-10-12,0.12,915.67,915.73,915.23,1141.18,16.11,12.08,16.9,15.82,12.72,11.71,80.39,74.45,78.02,116.35,6.0,2.4,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2008-10-19,0.44,913.05,913.36,912.71,1128.91,19.54,15.0,20.17,19.05,15.52,14.5,80.6,74.91,78.08,133.82,5.79,2.19,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2008-10-26,0.18,913.4,913.73,913.15,1318.19,20.4,16.3,20.95,19.86,16.75,15.85,81.8,76.56,79.25,130.76,6.2,2.55,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2009-10-04,0.11,913.03,913.32,912.8,1162.21,18.36,13.97,18.97,17.74,14.52,13.46,79.59,73.43,76.51,136.63,5.32,2.14,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2009-10-11,0.1,912.6,912.91,912.39,1238.77,18.38,13.28,18.96,17.75,13.81,12.69,76.73,70.09,73.51,138.83,5.56,2.21,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2009-10-18,0.07,910.48,910.83,910.16,1264.87,18.13,13.7,18.71,17.53,14.22,13.15,79.97,73.82,76.93,150.47,5.81,2.36,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2009-10-25,0.07,910.41,910.67,910.13,1221.32,19.42,14.55,20.06,18.78,15.13,13.97,78.18,71.13,74.67,145.14,5.32,2.12,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2010-10-03,0.17,909.55,909.84,909.2,1002.54,16.05,13.91,16.47,15.68,14.27,13.62,90.32,86.6,88.47,99.99,5.13,1.92,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2010-10-10,0.26,912.69,912.99,912.36,1143.68,14.74,11.44,15.24,14.29,11.93,10.99,84.94,79.78,82.42,137.1,6.33,2.59,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2010-10-17,0.12,913.86,914.18,913.61,1179.59,15.01,11.84,15.59,14.49,12.31,11.43,85.15,79.88,82.66,118.8,5.69,2.18,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2010-10-24,0.13,910.68,910.93,910.42,1304.51,16.91,12.68,17.52,16.36,13.27,12.15,82.23,75.97,79.13,110.93,4.7,1.77,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2010-10-31,0.21,908.07,908.38,907.75,1344.03,17.63,13.11,18.22,17.04,13.78,12.49,81.73,75.28,78.49,147.67,5.64,2.19,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2011-10-02,0.1,913.42,913.71,913.17,1365.58,17.62,9.59,18.3,16.92,10.26,8.9,67.55,61.58,64.63,125.45,5.04,1.9,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
