x,y
384611 , 7507963
411659 , 7496524
450767 , 7491618
473672 , 7492401
508700 , 7479352
520796 , 7464093
542323 , 7466227
575935 , 7462464
605555 , 7466643
630245 , 7443210
640087 , 7418428
641142 , 7388639
642885 , 7361747
661946 , 7333941
680940 , 7306831
670000 , 7282993
673805 , 7268415
699774 , 7273879
724275 , 7269144
743516 , 7268093
752028 , 7261399
744212 , 7232464
748662 , 7222207
760795 , 7233612
770630 , 7228331
777369 , 7234013
784170 , 7210605
791163 , 7197367
772925 , 7178116
766770 , 7167334
740969 , 7126389
703468 , 7123391
668507 , 7111535
648031 , 7099431
612803 , 7117949
574090 , 7118226
566180 , 7111004
545882 , 7119808
528780 , 7100972
506500 , 7095917
481617 , 7092274
475108 , 7071924
475795 , 7054492
462757 , 7047922
449669 , 7057321
412135 , 7059297
384107 , 7072283
339465 , 7076426
307250 , 7082590
291820 , 7079706
271939 , 7093247
252344 , 7089582
234910 , 7097168
225690 , 7110198
216368 , 7127187
213361 , 7155550
195140 , 7166384
189208 , 7163602
180013 , 7171981
163423 , 7163636
155854 , 7154843
139430 , 7163669
136546 , 7181453
154375 , 7212351
156926 , 7254745
162142 , 7288601
168421 , 7304621
160632 , 7326259
182645 , 7345940
189900 , 7375846
195407 , 7403725
219575 , 7415440
231201 , 7447373
254586 , 7475521
278262 , 7489756
294664 , 7500553
308170 , 7499407
325365 , 7496971
336334 , 7503035
358461 , 7497313
374427 , 7493491
380538 , 7495521
384611 , 7507963

